cooling_seconds,measured_microW_per_g,reported_error_microW_per_g,calculated_microW_per_g,calculated_over_measured,relative_residual,residual_over_reported_error
66.0,0.128,0.0064,0.11514084526487746,0.8995378536318551,-0.10046214636814488,-2.0092429273628976
82.2,0.126,0.0063,0.11305899234152535,0.897293590012106,-0.10270640998789404,-2.0541281997578817
97.8,0.126,0.0063,0.11127213142339377,0.8831121541539189,-0.11688784584608114,-2.3377569169216232
124.8,0.121,0.00605,0.10860911340833485,0.8975959785812797,-0.10240402141872029,-2.0480804283744054
160.8,0.117,0.00585,0.1057424317297104,0.9037814677753025,-0.09621853222469745,-1.9243706444939497
195.0,0.115,0.00575,0.10357461828019042,0.9006488546103515,-0.09935114538964851,-1.9870229077929713
247.8,0.111,0.00555,0.10099230207883926,0.9098405592688221,-0.09015944073117788,-1.8031888146235568
313.8,0.108,0.0054,0.09863994655097927,0.9133328384349932,-0.08666716156500676,-1.7333432313001351
381.0,0.105,0.00525,0.09686410724230644,0.9225153070695852,-0.07748469293041482,-1.5496938586082956
477.0,0.103,0.00515,0.0949463531638589,0.9218092540180476,-0.07819074598195241,-1.5638149196390483
604.2,0.0998,0.00499,0.09299464114829428,0.9318100315460349,-0.06818996845396508,-1.3637993690793022
727.8,0.098,0.0049,0.09142464264376003,0.9329045167730615,-0.06709548322693848,-1.3419096645387698
855.0,0.0958,0.00479,0.08999611258877538,0.9394166240999517,-0.06058337590004825,-1.211667518000964
1039.8,0.0938,0.00469,0.08813494693497158,0.9396049779847717,-0.060395022015228284,-1.2079004403045666
1284.0,0.0906,0.00453,0.0859409839029253,0.9485759812684912,-0.051424018731508814,-1.028480374630176
1531.2,0.088,0.0044,0.08393891676590033,0.9538513268852311,-0.04614867311476889,-0.922973462295378
1777.8,0.0858,0.00429,0.08210237334584054,0.9569041182498897,-0.043095881750110254,-0.8619176350022046
2206.2,0.0826,0.00413,0.07918335857963409,0.9586363024168775,-0.04136369758312253,-0.8272739516624505
2812.8,0.0784,0.00392,0.07544188288038668,0.9622689142906465,-0.03773108570935346,-0.7546217141870702
3421.2,0.0751,0.003755,0.07198843163469429,0.9585676649093781,-0.04143233509062194,-0.8286467018124397
