ACTINV-PROBLEM 1
n 3822
decay 8751
0 0 -1.12908809343532381e-03
1 0 1.12908809343532381e-03
3 3 -1.78283364719618349e-09
8 3 1.78283364719618349e-09
4 4 -6.99687862700469335e+21
3 4 6.99687862700469335e+21
5 5 -8.67005115319648466e+21
4 5 8.67005115319648466e+21
6 6 -2.43370075895659338e+21
5 6 2.43370075895659338e+21
7 7 -3.01368339373889222e+22
5 7 3.01368339373889222e+22
10 10 -9.12636182435741041e+20
0 10 9.12636182435741041e+20
11 11 -8.59237858633872920e-01
18 11 8.59237858633872920e-01
12 12 -2.28159045608935260e+20
11 12 2.28159045608935260e+20
13 13 -5.81987557145210133e+00
20 13 4.88869548001976462e+00
19 13 9.31180091432336265e-01
14 14 -9.90210257942778839e+19
13 14 9.90210257942778839e+19
15 15 -4.56318091217870520e+20
14 15 4.56318091217870520e+20
16 16 -9.17199840364294937e+21
8 16 9.17199840364294937e+21
17 17 -2.25877960738801477e+21
1 17 2.25877960738801477e+21
20 20 -8.27144606873443045e-01
9 20 8.27144606873443045e-01
21 21 -3.88753326169346813e+00
29 21 1.96320429715520151e+00
28 21 1.92432896453826663e+00
22 22 -3.46573590279972651e+20
21 22 3.46573590279972651e+20
23 23 -8.06923376670483350e+01
31 23 8.06923376670483350e+01
24 24 -6.93147180559945256e+07
23 24 6.93147180559945256e+07
25 25 -6.93147180559945226e+08
16 25 6.93147180559945226e+08
26 26 -1.39937572540093858e+20
9 26 1.39937572540093858e+20
27 27 -1.50742893875167303e-07
19 27 1.50742893875167303e-07
28 28 -8.47231474334148200e+15
9 28 8.47231474334148200e+15
30 30 -1.45460249424986423e-14
41 30 1.45460249424986423e-14
31 31 -5.01916857755210152e-02
42 31 4.86357435164798610e-02
19 31 1.55594225904115142e-03
32 32 -3.25421211530490737e+01
43 32 3.25421211530490737e+01
33 33 -2.56721177985164902e+20
32 33 2.56721177985164902e+20
34 34 -1.59344179439067887e+02
45 34 2.23081851214695064e+01
44 34 1.29068785345644983e+02
43 34 7.96720897195339450e+00
35 35 -3.46573590279972646e+06
34 35 3.46573590279972646e+06
36 36 -3.46573590279972646e+06
34 36 3.46573590279972646e+06
37 37 -6.93147180559945226e+08
16 37 6.93147180559945226e+08
38 38 -2.12948442568339567e+21
26 38 2.12948442568339567e+21
39 39 -9.00191143584344489e-01
9 39 9.00191143584344489e-01
40 40 -8.21373429364969472e+17
28 40 8.21373429364969472e+17
43 43 -3.43142168594032313e+01
55 43 3.43142168594032313e+01
44 44 -3.99278329815636681e+01
56 44 3.99278329815636681e+01
45 45 -5.54517744447956176e+01
57 45 5.54517744447956176e+01
46 46 -6.98033414461173578e+01
58 46 4.18820048676704104e+00
57 46 6.53359275935658559e+01
56 46 2.79213365784469425e-01
47 47 -3.64814305557865953e+09
46 47 3.64814305557865953e+09
48 48 -1.36446295385816001e+02
60 48 3.01546312802653347e+01
59 48 8.59611660930640795e+01
58 48 1.50090924924397608e+01
57 48 4.77562033850356027e+00
56 48 5.45785181543264053e-01
49 49 -2.66595069446132779e+07
48 49 2.66595069446132779e+07
50 50 -2.37379171424638798e+02
61 50 1.70913003425739930e+02
62 50 2.84855005709566562e+01
60 50 3.79806674279422083e+01
51 51 -3.49844637641924608e+20
26 51 3.49844637641924608e+20
52 52 -5.47942435225253188e+00
28 52 3.37532540098755973e+00
17 52 2.10409895126497215e+00
53 53 -3.59329798112983587e-02
41 53 3.59329798112983587e-02
54 54 -5.66713417185794530e-04
42 54 5.66713417185794530e-04
57 57 -3.85342943861920460e-12
70 57 3.85342943861920460e-12
58 58 -2.83032740122476645e-01
71 58 2.83032740122476645e-01
59 59 -9.27907872235535836e-01
72 59 9.27907872235535919e-03
71 59 9.18628793513180497e-01
60 60 -3.59143616870437965e+00
73 60 2.44217659471897841e+00
72 60 1.14925957398540146e+00
61 61 -7.53420848434723123e+00
74 61 5.16093281177785368e+00
73 61 2.37327567256937799e+00
62 62 -1.41458608277539852e+01
75 62 5.51688572282405421e+00
74 62 8.62897510492993014e+00
63 63 -4.78032538317203617e+01
76 63 1.33849110728817031e+01
75 63 3.44183427588386621e+01
64 64 -2.31049060186648443e+07
63 64 2.31049060186648443e+07
65 65 -1.11797932348378282e+02
78 65 2.23595864696756585e+00
77 65 6.81967387325107524e+01
76 65 4.13652349688999621e+01
66 66 -3.46573590279972612e+21
52 66 3.46573590279972612e+21
67 67 -2.21635463276421212e+21
53 67 2.21635463276421212e+21
68 68 -6.30133800509041180e+01
55 68 6.30133800509041180e+01
69 69 -1.15930286094655523e-03
56 69 1.15930286094655523e-03
72 72 -9.72155933464158850e-02
86 72 9.72144267592957301e-02
55 72 1.16658712015699062e-06
73 73 -1.66182493541104120e-01
87 73 8.14294218351410172e-03
86 73 1.58039551357590013e-01
74 74 -1.11081278935888661e+00
88 74 8.16447400178781590e-01
57 74 1.35519160301784153e-01
87 74 1.58846228878320783e-01
75 75 -2.55773867365293439e+00
89 75 1.16121335783843227e+00
88 75 1.39652531581450234e+00
76 76 -5.33190138892265608e+00
90 76 2.29271759723674196e+00
89 76 3.03918379168591368e+00
77 77 -8.15467271246994407e+00
91 77 1.54938781536928949e+00
90 77 6.60528489710065525e+00
78 78 -2.88811325233310541e+01
92 78 1.47293775868988384e+01
91 78 1.03972077083991792e+01
90 78 3.75454722803303698e+00
79 79 -4.78032538317203617e+01
93 79 4.78032538317203617e+01
80 80 -1.33297534723066390e+07
79 80 1.33297534723066390e+07
81 81 -2.66595069446132798e+06
80 81 2.66595069446132798e+06
82 82 -6.08424121623827317e+20
67 82 6.08424121623827317e+20
83 83 -8.07863846806462931e+01
55 83 8.07863846806462931e+01
84 84 -9.81711441747082879e-03
70 84 9.81711441747082879e-03
85 85 -5.67037942211997149e-03
71 85 5.67037942211997149e-03
89 89 -2.57867254672598696e-02
104 89 2.57867254672598696e-02
90 90 -5.13062309814911396e-02
105 90 5.13062309814911396e-02
91 91 -2.02674614198814412e-01
106 91 2.02674614198814412e-01
92 92 -3.08065413582197911e-01
107 92 2.40291022594114390e-01
106 92 6.77743909880835355e-02
93 93 -7.65908486806569400e+00
108 93 5.28476855896532882e+00
107 93 2.37431630910036517e+00
94 94 -1.06638027778453122e+01
109 94 4.47879716669503125e+00
108 94 6.18500561115028091e+00
95 95 -1.38629436111989059e+07
94 95 1.38629436111989059e+07
96 96 -1.73286795139986314e+07
95 96 1.73286795139986314e+07
97 97 -2.66595069446132798e+06
96 97 2.66595069446132798e+06
98 98 -6.93147180559945293e+06
97 98 6.93147180559945293e+06
99 99 -1.38610030707689993e+21
83 99 1.38610030707689993e+21
100 100 -1.52106030405956849e+21
84 100 1.52106030405956849e+21
101 101 -6.08424121623827333e+19
85 101 6.08424121623827333e+19
102 102 -1.07481342930678455e-02
87 102 1.07481342930678455e-02
103 103 -1.05242352275962666e-04
88 103 1.05242352275962666e-04
105 105 -6.20932706763365830e-02
121 105 6.20932706763365830e-02
106 106 -1.66702063626730457e-01
122 106 1.66702063626730457e-01
107 107 -1.63864581692658440e-01
123 107 1.63864581692658440e-01
108 108 -3.10828332089661541e-01
124 108 3.10828332089661541e-01
109 109 -1.77730046297421862e+00
125 109 1.67243973565873971e+00
124 109 1.04860727315478894e-01
110 110 -1.38629436111989044e+01
126 110 1.19221315056310573e+01
125 110 1.94081210556784689e+00
111 111 -7.22028313083276458e+01
127 111 6.42605198644116058e+01
126 111 7.94231144391604094e+00
112 112 -1.38629436111989065e+02
128 112 3.18847703057574847e+01
127 112 1.06744665806231581e+02
113 113 -1.73286795139986314e+07
129 113 1.73286795139986314e+07
114 114 -2.77258872223978130e+02
129 114 2.77258872223978130e+02
115 115 -2.66595069446132798e+06
114 115 2.66595069446132798e+06
116 116 -2.77258872223978117e+06
132 116 1.38629436111989059e+06
131 116 1.38629436111989059e+06
117 117 -1.85569650292871496e+20
84 117 1.85569650292871496e+20
118 118 -6.34750165347935180e+00
86 118 6.34750165347935180e+00
119 119 -4.14561710861211297e-01
103 119 4.14561710861211297e-01
120 120 -4.02524495098690663e-02
104 120 4.02524495098690663e-02
124 124 -1.86129747733605050e-02
141 124 1.86129747733605050e-02
125 125 -3.41788550571965133e-03
143 125 3.41788550571965133e-03
126 126 -1.15140727667764997e+00
144 126 1.15140727667764997e+00
127 127 -3.51851360690327519e+00
145 127 3.51393953921430091e+00
144 127 4.57406768897425722e-03
128 128 -2.16608493924982888e+01
146 128 2.12276324046483218e+01
145 128 4.33216987849965762e-01
129 129 -3.66744539978807040e+01
